   category    |       subcategory        |                       name                       |          brand           | unit_type  | unit_size | case_size 
 Beers & Ales  | Lager                    | Budweiser                                        | Budweiser                | can        |       440 |        24
 Beers & Ales  | Lager                    | Budweiser                                        | Budweiser                | keg        |     50000 |         1
 Beers & Ales  | Lager                    | Budweiser                                        | Budweiser                | bottle     |       330 |        24
 Beers & Ales  | Lager                    | Carling Lager                                    | Carling                  | keg        |     50000 |         1
 Beers & Ales  | Lager                    | Carling Lager                                    | Carling                  | can        |       440 |        24
 Beers & Ales  | Lager                    | Carlsberg                                        | Carlsberg                | keg        |     50000 |         1
 Beers & Ales  | Lager                    | Carlsberg                                        | Carlsberg                | can        |       440 |        24
 Beers & Ales  | Lager                    | Carlsberg                                        | Carlsberg                | bottle     |       330 |        24
 Beers & Ales  | Lager                    | Cobra                                            | Cobra                    | bottle     |       330 |        12
 Beers & Ales  | Lager                    | Corona Extra                                     | Corona                   | bottle     |       330 |        24
 Beers & Ales  | Lager                    | Estrella Damm                                    | Estrella                 | bottle     |       330 |        24
 Beers & Ales  | Lager                    | Estrella Damm                                    | Estrella                 | keg        |     50000 |         1
 Beers & Ales  | Lager                    | Foster's Lager                                   | Foster's                 | can        |       440 |        24
 Beers & Ales  | Lager                    | Foster's Lager                                   | Foster's                 | keg        |     50000 |         1
 Beers & Ales  | Lager                    | Grolsch                                          | Grolsch                  | bottle     |       450 |        15
 Beers & Ales  | Lager                    | Heineken                                         | Heineken                 | keg        |     50000 |         1
 Beers & Ales  | Lager                    | Heineken                                         | Heineken                 | can        |       440 |        24
 Beers & Ales  | Lager                    | Heineken                                         | Heineken                 | bottle     |       330 |        24
 Beers & Ales  | Lager                    | Kronenbourg 1664                                 | Kronenbourg              | keg        |     50000 |         1
 Beers & Ales  | Lager                    | Kronenbourg 1664                                 | Kronenbourg              | bottle     |       330 |        24
 Beers & Ales  | Lager                    | Kronenbourg 1664                                 | Kronenbourg              | can        |       440 |        24
 Beers & Ales  | Lager                    | Modelo Especial                                  | Modelo                   | bottle     |       330 |        24
 Beers & Ales  | Lager                    | Moretti                                          | Moretti                  | bottle     |       330 |        24
 Beers & Ales  | Lager                    | Pacifico                                         | Pacifico                 | bottle     |       355 |        24
 Beers & Ales  | Lager                    | Peroni Nastro Azzurro                            | Peroni                   | bottle     |       330 |        24
 Beers & Ales  | Lager                    | Peroni Nastro Azzurro                            | Peroni                   | keg        |     50000 |         1
 Beers & Ales  | Lager                    | San Miguel                                       | San Miguel               | keg        |     50000 |         1
 Beers & Ales  | Lager                    | San Miguel                                       | San Miguel               | bottle     |       330 |        24
 Beers & Ales  | Lager                    | Stella Artois                                    | Stella Artois            | bottle     |       330 |        24
 Beers & Ales  | Lager                    | Stella Artois                                    | Stella Artois            | can        |       440 |        24
 Beers & Ales  | Lager                    | Stella Artois                                    | Stella Artois            | keg        |     50000 |         1
 Beers & Ales  | Lager                    | Tiger                                            | Tiger                    | bottle     |       330 |        24
 Beers & Ales  | Low & No Alcohol Beer    | Beck's Blue                                      | Beck's                   | bottle     |       275 |        24
 Beers & Ales  | Low & No Alcohol Beer    | BrewDog Nanny State                              | BrewDog                  | can        |       330 |        24
 Beers & Ales  | Low & No Alcohol Beer    | Budweiser Zero                                   | Budweiser                | bottle     |       330 |        24
 Beers & Ales  | Low & No Alcohol Beer    | Corona Cero                                      | Corona                   | bottle     |       330 |        24
 Beers & Ales  | Low & No Alcohol Beer    | Erdinger Alkoholfrei                             | Erdinger                 | bottle     |       500 |        20
 Beers & Ales  | Low & No Alcohol Beer    | Guinness 0.0                                     | Guinness                 | can        |       440 |        24
 Beers & Ales  | Low & No Alcohol Beer    | Heineken 0.0                                     | Heineken                 | bottle     |       330 |        24
 Beers & Ales  | Low & No Alcohol Beer    | Peroni Libera 0.0%                               | Peroni                   | bottle     |       330 |        24
 Beers & Ales  | Low & No Alcohol Beer    | Stella Artois 0.0%                               | Stella Artois            | bottle     |       330 |        24
 Beers & Ales  | RTDs (Ready-to-Drink)    | Bacardi & Cola                                   | Bacardi                  | can        |       250 |        24
 Beers & Ales  | RTDs (Ready-to-Drink)    | Captain Morgan & Cola                            | Captain Morgan           | can        |       250 |        24
 Beers & Ales  | RTDs (Ready-to-Drink)    | Gordon's Premix Gin & Tonic                      | Gordon's                 | can        |       250 |        24
 Beers & Ales  | RTDs (Ready-to-Drink)    | Jack Daniel's & Cola                             | Jack Daniel's            | can        |       330 |        24
 Beers & Ales  | RTDs (Ready-to-Drink)    | Smirnoff Ice                                     | Smirnoff                 | bottle     |       700 |        12
 Beers & Ales  | RTDs (Ready-to-Drink)    | WKD Blue                                         | WKD                      | bottle     |       700 |        12
 Beers & Ales  | RTDs (Ready-to-Drink)    | WKD Iron Brew                                    | WKD                      | bottle     |       700 |        12
 Brandy        | Armagnac                 | Armagnac VSOP 70cl                               | Armagnac                 | bottle     |       700 |         6
 Brandy        | Armagnac                 | Armagnac XO 70cl                                 | Armagnac                 | bottle     |       700 |         6
 Brandy        | Calvados                 | Calvados VSOP 70cl                               | Calvados                 | bottle     |       700 |         6
 Brandy        | Cognac Premium           | Hennessy Paradis 70cl                            | Hennessy                 | bottle     |       700 |         6
 Brandy        | Cognac Premium           | Remy Martin Louis XIII 50ml                      | Remy Martin              | bottle     |        50 |        24
 Brandy        | Cognac VS                | Hennessy V.S 70cl                                | Hennessy                 | bottle     |       700 |         6
 Brandy        | Cognac VSOP              | Bisquit VSOP 70cl                                | Bisquit                  | bottle     |       700 |         6
 Brandy        | Cognac VSOP              | Camus VSOP 70cl                                  | Camus                    | bottle     |       700 |         6
 Brandy        | Cognac VSOP              | Courvoisier VSOP 70cl                            | Courvoisier              | bottle     |       700 |         6
 Brandy        | Cognac VSOP              | Hennessy VSOP 50ml                               | Hennessy                 | bottle     |        50 |        24
 Brandy        | Cognac VSOP              | Hennessy VSOP 70cl                               | Hennessy                 | bottle     |       700 |         6
 Brandy        | Cognac VSOP              | Martell VSOP 70cl                                | Martell                  | bottle     |       700 |         6
 Brandy        | Cognac VSOP              | Remy Martin VSOP 50ml                            | Remy Martin              | bottle     |        50 |        24
 Brandy        | Cognac VSOP              | Remy Martin VSOP 70cl                            | Remy Martin              | bottle     |       700 |         6
 Brandy        | Cognac XO                | Courvoisier XO 70cl                              | Courvoisier              | bottle     |       700 |         6
 Brandy        | Cognac XO                | Hennessy XO 50ml                                 | Hennessy                 | bottle     |        50 |        24
 Brandy        | Cognac XO                | Hennessy XO 70cl                                 | Hennessy                 | bottle     |       700 |         6
 Brandy        | Cognac XO                | Martell XO 70cl                                  | Martell                  | bottle     |       700 |         6
 Brandy        | Cognac XO                | Remy Martin XO 70cl                              | Remy Martin              | bottle     |       700 |         6
 Brandy        | Greek Brandy             | Metaxa 12 Star 70cl                              | Metaxa                   | bottle     |       700 |         6
 Brandy        | Greek Brandy             | Metaxa 7 Star 70cl                               | Metaxa                   | bottle     |       700 |         6
 Brandy        | Greek Brandy             | Metaxa Private Reserve 70cl                      | Metaxa                   | bottle     |       700 |         6
 Cider & Perry | Bottled Cider            | Aspall Suffolk Cyder                             | Aspall                   | bottle     |       500 |        12
 Cider & Perry | Bottled Cider            | Bulmers Crushed Red Berries                      | Bulmers                  | bottle     |       568 |        12
 Cider & Perry | Bottled Cider            | Bulmers Original                                 | Bulmers                  | bottle     |       568 |        12
 Cider & Perry | Bottled Cider            | Bulmers Pear                                     | Bulmers                  | bottle     |       568 |        12
 Cider & Perry | Bottled Cider            | Henry Westons Vintage Cider                      | Henry Weston's           | bottle     |       500 |         8
 Cider & Perry | Bottled Cider            | Kopparberg Elderflower & Lime                    | Kopparberg               | bottle     |       500 |        15
 Cider & Perry | Bottled Cider            | Kopparberg Mixed Fruit                           | Kopparberg               | bottle     |       500 |        15
 Cider & Perry | Bottled Cider            | Kopparberg Pear                                  | Kopparberg               | bottle     |       500 |        15
 Cider & Perry | Bottled Cider            | Kopparberg Strawberry & Lime                     | Kopparberg               | bottle     |       500 |        15
 Cider & Perry | Bottled Cider            | Magners Berry                                    | Magners                  | bottle     |       568 |        12
 Cider & Perry | Bottled Cider            | Magners Original                                 | Magners                  | bottle     |       568 |        12
 Cider & Perry | Bottled Cider            | Magners Pear                                     | Magners                  | bottle     |       568 |        12
 Cider & Perry | Bottled Cider            | Old Mout Berries & Cherries                      | Old Mout                 | bottle     |       500 |        12
 Cider & Perry | Bottled Cider            | Old Mout Kiwi & Lime                             | Old Mout                 | bottle     |       500 |        12
 Cider & Perry | Bottled Cider            | Old Mout Pineapple & Raspberry                   | Old Mout                 | bottle     |       500 |        12
 Cider & Perry | Bottled Cider            | Rekorderlig Passionfruit                         | Rekorderlig              | bottle     |       500 |        15
 Cider & Perry | Bottled Cider            | Rekorderlig Strawberry & Lime                    | Rekorderlig              | bottle     |       500 |        15
 Cider & Perry | Bottled Cider            | Rekorderlig Wild Berry                           | Rekorderlig              | bottle     |       500 |        15
 Cider & Perry | Bottled Cider            | Somersby Apple Cider                             | Somersby                 | bottle     |       330 |        24
 Cider & Perry | Bottled Cider            | Strongbow Dark Fruit                             | Strongbow                | bottle     |       440 |        24
 Cider & Perry | Bottled Cider            | Strongbow Original Cider                         | Strongbow                | bottle     |       440 |        24
 Cider & Perry | Bottled Cider            | Thatchers Gold                                   | Thatchers                | bottle     |       500 |        12
 Cider & Perry | Bottled Cider            | Thatchers Haze                                   | Thatchers                | bottle     |       500 |        12
 Cider & Perry | Cider (Draught)          | Bulmers Original                                 | Bulmers                  | keg        |     50000 |         1
 Cider & Perry | Cider (Draught)          | Magners Original                                 | Magners                  | keg        |     50000 |         1
 Cider & Perry | Cider (Draught)          | Strongbow Original Cider                         | Strongbow                | keg        |     50000 |         1
 Cider & Perry | Cider (Draught)          | Thatchers Gold                                   | Thatchers                | keg        |     50000 |         1
 Gin           | Botanical                | Foxdenton Estate Gin 70cl                        | Foxdenton                | bottle     |       700 |         6
 Gin           | Botanical                | Masons Yorkshire Gin 70cl                        | Masons                   | bottle     |       700 |         6
 Gin           | Botanical                | Sipsmith London Dry Gin 1L                       | Sipsmith                 | bottle     |      1000 |         6
 Gin           | Botanical                | Sipsmith London Dry Gin 70cl                     | Sipsmith                 | bottle     |       700 |         6
 Gin           | Botanical                | Tarquin's Gin 1L                                 | Tarquin's                | bottle     |      1000 |         6
 Gin           | Botanical                | Tarquin's Gin 70cl                               | Tarquin's                | bottle     |       700 |         6
 Gin           | Botanical                | Warner Edwards Harrington Dry Gin 70cl           | Warner Edwards           | bottle     |       700 |         6
 Gin           | Flavored Gin             | Bombay Sapphire Distilled East 70cl              | Bombay Sapphire          | bottle     |       700 |         6
 Gin           | Flavored Gin             | Bombay Sapphire Distilled Lime 70cl              | Bombay Sapphire          | bottle     |       700 |         6
 Gin           | Flavored Gin             | Etchings Gin Lemon & Ginger 70cl                 | Etchings                 | bottle     |       700 |         6
 Gin           | Flavored Gin             | Tanqueray No. Ten Gin 1L                         | Tanqueray                | bottle     |      1000 |         6
 Gin           | Flavored Gin             | Tanqueray No. Ten Gin 70cl                       | Tanqueray                | bottle     |       700 |         6
 Gin           | Flavored Gin             | Tanqueray Rangpur Gin 50ml                       | Tanqueray                | bottle     |        50 |        24
 Gin           | Flavored Gin             | Tanqueray Rangpur Gin 70cl                       | Tanqueray                | bottle     |       700 |         6
 Gin           | Flavored Gin             | Whitley Neill Gooseberry Gin 70cl                | Whitley Neill            | bottle     |       700 |         6
 Gin           | Flavored Gin             | Whitley Neill Parma Violet Gin 70cl              | Whitley Neill            | bottle     |       700 |         6
 Gin           | Flavored Gin             | Whitley Neill Raspberry Gin 70cl                 | Whitley Neill            | bottle     |       700 |         6
 Gin           | London Dry               | Beefeater Gin 1L                                 | Beefeater                | bottle     |      1000 |         6
 Gin           | London Dry               | Beefeater Gin 25ml                               | Beefeater                | bottle     |        25 |        48
 Gin           | London Dry               | Beefeater Gin 50ml                               | Beefeater                | bottle     |        50 |        24
 Gin           | London Dry               | Beefeater Gin 70cl                               | Beefeater                | bottle     |       700 |         6
 Gin           | London Dry               | Bombay Original Dry Gin 70cl                     | Bombay                   | bottle     |       700 |         6
 Gin           | London Dry               | Bombay Sapphire Gin 1L                           | Bombay Sapphire          | bottle     |      1000 |         6
 Gin           | London Dry               | Bombay Sapphire Gin 25ml                         | Bombay Sapphire          | bottle     |        25 |        48
 Gin           | London Dry               | Bombay Sapphire Gin 50ml                         | Bombay Sapphire          | bottle     |        50 |        24
 Gin           | London Dry               | Bombay Sapphire Gin 70cl                         | Bombay Sapphire          | bottle     |       700 |         6
 Gin           | London Dry               | Gordon's London Dry Gin 1L                       | Gordon's                 | bottle     |      1000 |         6
 Gin           | London Dry               | Gordon's London Dry Gin 25ml                     | Gordon's                 | bottle     |        25 |        48
 Gin           | London Dry               | Gordon's London Dry Gin 50ml                     | Gordon's                 | bottle     |        50 |        24
 Gin           | London Dry               | Gordon's London Dry Gin 70cl                     | Gordon's                 | bottle     |       700 |         6
 Gin           | London Dry               | Tanqueray Gin 1L                                 | Tanqueray                | bottle     |      1000 |         6
 Gin           | London Dry               | Tanqueray Gin 25ml                               | Tanqueray                | bottle     |        25 |        48
 Gin           | London Dry               | Tanqueray Gin 50ml                               | Tanqueray                | bottle     |        50 |        24
 Gin           | London Dry               | Tanqueray Gin 70cl                               | Tanqueray                | bottle     |       700 |         6
 Gin           | London Dry               | Tanqueray London Dry Export Strength 70cl        | Tanqueray                | bottle     |       700 |         6
 Gin           | Premium Craft            | Hendrick's Gin 1L                                | Hendrick's               | bottle     |      1000 |         6
 Gin           | Premium Craft            | Hendrick's Gin 70cl                              | Hendrick's               | bottle     |       700 |         6
 Gin           | Premium Craft            | Monkey 47 Gin 500ml                              | Monkey 47                | bottle     |       500 |         6
 Gin           | Premium Craft            | Monkey 47 Gin 50ml                               | Monkey 47                | bottle     |        50 |        24
 Gin           | Premium Craft            | Monkey 47 Gin 70cl                               | Monkey 47                | bottle     |       700 |         6
 Gin           | Premium Craft            | Opihr Arabian Edition Gin 70cl                   | Opihr                    | bottle     |       700 |         6
 Gin           | Premium Craft            | Roku Gin 1L                                      | Roku                     | bottle     |      1000 |         6
 Gin           | Premium Craft            | Roku Gin 70cl                                    | Roku                     | bottle     |       700 |         6
 Liqueur       | Coffee                   | Kahlua Coffee Liqueur 25ml                       | Kahlua                   | bottle     |        25 |        48
 Liqueur       | Coffee                   | Kahlua Coffee Liqueur 50ml                       | Kahlua                   | bottle     |        50 |        24
 Liqueur       | Coffee                   | Kahlua Coffee Liqueur 70cl                       | Kahlua                   | bottle     |       700 |         6
 Liqueur       | Coffee                   | Tia Maria Coffee Liqueur 70cl                    | Tia Maria                | bottle     |       700 |         6
 Liqueur       | Cream                    | Amaretto Disaronno 1L                            | Disaronno                | bottle     |      1000 |         6
 Liqueur       | Cream                    | Amaretto Disaronno 25ml                          | Disaronno                | bottle     |        25 |        48
 Liqueur       | Cream                    | Amaretto Disaronno 50ml                          | Disaronno                | bottle     |        50 |        24
 Liqueur       | Cream                    | Amaretto Disaronno 70cl                          | Disaronno                | bottle     |       700 |         6
 Liqueur       | Cream                    | Baileys Irish Cream 1L                           | Baileys                  | bottle     |      1000 |         6
 Liqueur       | Cream                    | Baileys Irish Cream 25ml                         | Baileys                  | bottle     |        25 |        48
 Liqueur       | Cream                    | Baileys Irish Cream 50ml                         | Baileys                  | bottle     |        50 |        24
 Liqueur       | Cream                    | Baileys Irish Cream 70cl                         | Baileys                  | bottle     |       700 |         6
 Liqueur       | Cream                    | Frangelico Hazelnut Liqueur 50ml                 | Frangelico               | bottle     |        50 |        24
 Liqueur       | Cream                    | Frangelico Hazelnut Liqueur 70cl                 | Frangelico               | bottle     |       700 |         6
 Liqueur       | Fruit                    | Chambord Raspberry Liqueur 50ml                  | Chambord                 | bottle     |        50 |        24
 Liqueur       | Fruit                    | Chambord Raspberry Liqueur 70cl                  | Chambord                 | bottle     |       700 |         6
 Liqueur       | Fruit                    | Cointreau Orange Liqueur 50ml                    | Cointreau                | bottle     |        50 |        24
 Liqueur       | Fruit                    | Cointreau Orange Liqueur 70cl                    | Cointreau                | bottle     |       700 |         6
 Liqueur       | Fruit                    | Grand Marnier Orange Liqueur 50ml                | Grand Marnier            | bottle     |        50 |        24
 Liqueur       | Fruit                    | Grand Marnier Orange Liqueur 70cl                | Grand Marnier            | bottle     |       700 |         6
 Liqueur       | Fruit                    | Midori Melon Liqueur 50ml                        | Midori                   | bottle     |        50 |        24
 Liqueur       | Fruit                    | Midori Melon Liqueur 70cl                        | Midori                   | bottle     |       700 |         6
 Liqueur       | Fruit                    | Peach Schnapps 50ml                              | Schnapps                 | bottle     |        50 |        24
 Liqueur       | Fruit                    | Peach Schnapps 70cl                              | Schnapps                 | bottle     |       700 |         6
 Liqueur       | Fruit                    | Sloe Gin 70cl                                    | Sloe Gin                 | bottle     |       700 |         6
 Liqueur       | Herbal                   | Benedictine D.O.M 70cl                           | Benedictine              | bottle     |       700 |         6
 Liqueur       | Herbal                   | Chartreuse Green 70cl                            | Chartreuse               | bottle     |       700 |         6
 Liqueur       | Herbal                   | Chartreuse Yellow 70cl                           | Chartreuse               | bottle     |       700 |         6
 Liqueur       | Herbal                   | Drambuie Scotch Liqueur 50ml                     | Drambuie                 | bottle     |        50 |        24
 Liqueur       | Herbal                   | Drambuie Scotch Liqueur 70cl                     | Drambuie                 | bottle     |       700 |         6
 Liqueur       | Herbal                   | Jagermeister 25ml                                | Jagermeister             | bottle     |        25 |        48
 Liqueur       | Herbal                   | Jagermeister 50ml                                | Jagermeister             | bottle     |        50 |        24
 Liqueur       | Herbal                   | Jagermeister 70cl                                | Jagermeister             | bottle     |       700 |         6
 Liqueur       | Herbal                   | Underberg Herbal Liqueur 50ml                    | Underberg                | bottle     |        50 |        24
 Liqueur       | Nut                      | Amaretto Di Saronno 70cl                         | Amaretto                 | bottle     |       700 |         6
 Liqueur       | Nut                      | Peanut Liqueur 70cl                              | Peanut Liqueur           | bottle     |       700 |         6
 Mezcal        | Cream                    | Sipping Mezcal Crema de Mezcal 70cl              | Crema de Mezcal          | bottle     |       700 |         6
 Mezcal        | Traditional              | Del Maguey Chichicapa 70cl                       | Del Maguey               | bottle     |       700 |         6
 Mezcal        | Traditional              | Enemigo Mezcal 70cl                              | Enemigo                  | bottle     |       700 |         6
 Mezcal        | Traditional              | Vago Mezcal Ensamble 70cl                        | Vago                     | bottle     |       700 |         6
 Mezcal        | Traditional              | Vida Mezcal Artesanal 70cl                       | Vida                     | bottle     |       700 |         6
 Rum           | Dark Spiced              | Appleton Estate Signature Blend 1L               | Appleton Estate          | bottle     |      1000 |         6
 Rum           | Dark Spiced              | Appleton Estate Signature Blend 70cl             | Appleton Estate          | bottle     |       700 |         6
 Rum           | Dark Spiced              | Bacardi Spiced Rum 70cl                          | Bacardi                  | bottle     |       700 |         6
 Rum           | Dark Spiced              | Captain Morgan Spiced Rum 1L                     | Captain Morgan           | bottle     |      1000 |         6
 Rum           | Dark Spiced              | Captain Morgan Spiced Rum 25ml                   | Captain Morgan           | bottle     |        25 |        48
 Rum           | Dark Spiced              | Captain Morgan Spiced Rum 50ml                   | Captain Morgan           | bottle     |        50 |        24
 Rum           | Dark Spiced              | Captain Morgan Spiced Rum 70cl                   | Captain Morgan           | bottle     |       700 |         6
 Rum           | Dark Spiced              | Mount Gay Eclipse Rum 70cl                       | Mount Gay                | bottle     |       700 |         6
 Rum           | Dark Spiced              | Myers Dark Rum 1L                                | Myers                    | bottle     |      1000 |         6
 Rum           | Dark Spiced              | Myers Dark Rum 70cl                              | Myers                    | bottle     |       700 |         6
 Rum           | Gold                     | Bacardi Gold Rum 1L                              | Bacardi                  | bottle     |      1000 |         6
 Rum           | Gold                     | Bacardi Gold Rum 70cl                            | Bacardi                  | bottle     |       700 |         6
 Rum           | Gold                     | Captain Morgan Private Stock 70cl                | Captain Morgan           | bottle     |       700 |         6
 Rum           | Gold                     | Havana Club Gold 70cl                            | Havana Club              | bottle     |       700 |         6
 Rum           | Premium Aged             | Appleton Estate 12 Year Old 70cl                 | Appleton Estate          | bottle     |       700 |         6
 Rum           | Premium Aged             | Appleton Estate 21 Year Old 70cl                 | Appleton Estate          | bottle     |       700 |         6
 Rum           | Premium Aged             | Diplomatico Reserva Exclusiva 70cl               | Diplomatico              | bottle     |       700 |         6
 Rum           | Premium Aged             | El Dorado 12 Year Old 70cl                       | El Dorado                | bottle     |       700 |         6
 Rum           | Premium Aged             | El Dorado 15 Year Old 70cl                       | El Dorado                | bottle     |       700 |         6
 Rum           | Premium Aged             | El Dorado 21 Year Old 70cl                       | El Dorado                | bottle     |       700 |         6
